Machine Name,Device Name,Description,Device Type,Connected,Safe To Unplug,Disabled,USB Hub,Drive Letter,Serial Number,Created Date,Last Plug/Unplug Date,VendorID,ProductID,Firmware Revision,USB Class,USB SubClass,USB Protocol,Hub / Port,Computer Name,Vendor Name,Product Name,ParentId Prefix,Service Name,Service Description,Driver Filename,Device Class,Device Mfg,Power,USB Version,Driver Description,Driver Version,Instance ID
PEPWUD25194,Dell USB Mouse,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/10/2011 9:18:08 AM,2/2/2011 5:37:46 PM,413c,3200,29.1,3,1,2,"Hub 2, Port 2",,Dell Computer Corp.,Mouse,6&3a38bfe8&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_3200\5&2d7e750b&0&2
PEPWUD25194,Dell USB Mouse,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,12/20/2010 5:21:15 PM,12/29/2010 3:17:34 PM,413c,3200,29.1,3,1,2,"Hub 2, Port 1",,Dell Computer Corp.,Mouse,6&277f0f43&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_3200\5&2d7e750b&0&1
PEPWUD25194,HP Basic USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/9/2011 6:25:34 PM,2/9/2011 7:09:23 PM,03f0,324,1,3,1,1,"Hub 1, Port 1",,Hewlett-Packard,SK-2885 keyboard,6&177e3f21&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_03f0&Pid_0324\5&88d10a2&0&1
PEPWUD25194,HP Basic USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,No,No,No,,,2/9/2011 6:24:13 PM,2/9/2011 6:25:33 PM,03f0,324,1,3,1,1,"Hub 2, Port 2",,Hewlett-Packard,SK-2885 keyboard,,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_03f0&Pid_0324\5&2d7e750b&0&2
PEPWUD25194,Ultra Fit,SanDisk Ultra Fit USB Device,Mass Storage,Yes,No,No,No,F:,4C530001240411116205,8/24/2016 2:20:58 PM,8/24/2016 2:21:03 PM,781,5583,1,8,6,50,,,SanDisk Corp.,,7&33e73e1e&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,224 mA,2.1,USB Mass Storage Device,5.1.2600.0,USB\Vid_0781&Pid_5583\4C530001240411116205
PEPWUD25194,USB DISK,USB DISK USB Device,Mass Storage,No,No,No,No,,90A91900B55C2847,2/9/2011 6:30:18 PM,2/9/2011 6:30:21 PM,1234,0fff,1,8,6,50,,,Brain Actuated Technologies,,7&2e8e5731&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_1234&Pid_0fff\90A91900B55C2847
PEPWUD25194,USB Optical Mouse,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,9/14/2011 10:22:02 AM,8/24/2016 2:21:20 PM,046d,c018,43.01,3,1,2,"Hub 3, Port 2",,"Logitech, Inc.",Optical Wheel Mouse,7&1427c50a&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_046d&Pid_c018\6&2eb0ea04&0&2
PEPWUD25194,USB-PS/2 Optical Mouse,USB-PS/2 Optical Mouse,HID (Human Interface Device),No,No,No,No,,,2/9/2011 6:25:19 PM,2/9/2011 6:25:19 PM,046d,c03e,20,3,1,2,"Hub 1, Port 1",,"Logitech, Inc.",Premium Optical Wheel Mouse (M-BT58),,,,,,,,,,,USB\Vid_046d&Pid_c03e\5&88d10a2&0&1
PEPWUD25194,USB-PS/2 Optical Mouse,USB-PS/2 Optical Mouse,HID (Human Interface Device),No,No,No,No,,,2/9/2011 6:24:12 PM,2/9/2011 6:24:12 PM,046d,c03e,20,3,1,2,"Hub 1, Port 2",,"Logitech, Inc.",Premium Optical Wheel Mouse (M-BT58),,,,,,,,,,,USB\Vid_046d&Pid_c03e\5&88d10a2&0&2
PEPWUD25194,USB-PS/2 Optical Mouse,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/9/2011 6:25:36 PM,2/9/2011 7:09:23 PM,046d,c03e,20,3,1,2,"Hub 2, Port 2",,"Logitech, Inc.",Premium Optical Wheel Mouse (M-BT58),6&2ea04a8c&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_046d&Pid_c03e\5&2d7e750b&0&2
PEPWUD25194,WinCE USB Keyboard / PS2 Mouse�,USB Composite Device,Unknown,No,Yes,No,No,,,2/15/2011 5:04:32 PM,9/14/2011 10:19:12 AM,04b4,101,0.01,0,0,0,"Hub 3, Port 1",,Cypress Semiconductor Corp.,Keyboard/Hub,7&14ddccf2&0,usbccgp,Microsoft USB Generic Parent Driver,usbccgp.sys,USB,(Standard USB Host Controller),,,USB Composite Device,5.1.2600.0,USB\Vid_04b4&Pid_0101\6&2eb0ea04&0&1
PEPWUD25194,WinCE USB Keyboard / PS2 Mouse�,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/15/2011 5:04:33 PM,9/14/2011 10:19:13 AM,04b4,101,0.01,3,1,2,,,Cypress Semiconductor Corp.,Keyboard/Hub,8&1d125fcb&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_04b4&Pid_0101&MI_02\7&14ddccf2&0&0002
PEPWUD25364,No USB History returned due to error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
